	Bayesian SkyGrid: C.lineage.continuous.phylo.log			
Time	Mean	Median	Upper	Lower
2022.646	0.772122844834416	0.773205961054332	1.7987963912891938	0.31670913071841195
2020.6051836734694	12.514480609422499	9.969790738701889	134.81018459721886	1.8130790105338686
2018.5643673469388	16.864323821575077	12.287233002901077	206.86810197001338	2.617667683780059
2016.5235510204081	38.3101601916434	28.110688272766193	837.9511893227183	3.1834857636794434
2014.4827346938775	69.85729299835465	53.154835965651635	1652.9679161844906	4.3559384361478095
2012.441918367347	48.001995786918776	38.25829129171503	835.8802308891972	3.637017668408764
2010.4011020408163	57.46289560828367	48.42875736371616	657.4449833728387	7.779570895368525
2008.3602857142857	24.14667716876598	23.78083569836754	62.50466175398871	9.561104000617492
2006.3194693877551	2.521049652444916	2.572763722897631	7.6532960768812055	0.7128636879088421
2004.2786530612245	5.012446997218723	4.667412291336395	130.16122314307933	0.2788151998011272
2002.237836734694	10.85547886429504	8.694726545212975	350.2714313144878	0.6707864310404926
2000.1970204081633	16.95201998152365	12.935460341715773	332.63716895803515	1.5021791467606669
1998.1562040816327	32.02116430867196	24.4941544519566	708.5915268492813	2.4665812056643364
1996.1153877551021	29.74326948736912	23.66282409671692	1454.5085692003297	1.2924244059522128
1994.0745714285715	20.347529991191582	16.601249935865734	1010.5052492247091	0.4344686246758049
1992.033755102041	12.722608290159526	10.391891190164612	555.5221268515054	0.38015561229981787
1989.9929387755103	3.8671130517997723	3.431342770144144	217.45258270736068	0.07520728316861708
1987.9521224489797	4.2816082032575515	4.117831329192703	301.31985317527256	0.06559832023907829
1985.911306122449	11.013061203612518	9.145666313660566	1601.1357349265577	0.10455954544209717
1983.8704897959185	41.52470023456925	27.529638063535575	3965.98324701021	0.7364881592513116
1981.829673469388	98.99222987290916	58.386928928666535	15375.81729387382	1.5367045237849013
1979.7888571428573	161.18562742680635	91.41494157345365	47306.95136252402	2.9982336923785016
1977.7480408163267	188.9929120987866	110.2050730449976	54938.083892201146	2.2302427956994197
